---|ARABIC|---	^-
🇺🇸 SD:cbs NY	00!0!1/95059
🇺🇸 SD:nbc NY	00!0!1/95060
🇺🇸 SD: Fox LA	00!0!1/95061
ESPN	00!0!1/95062
ESPN 2	00!0!1/95063
🇺🇸 SD: Velocity	00!0!1/95064
🇺🇸 SD:FOX SPORTS 1	00!0!1/95065
🇺🇸 SD: FOX SPORTS 2	00!0!1/95066
🇺🇸 SD: GOLF	00!0!1/95068
🇺🇸 SD: SPMAN	00!0!1/95069
🇺🇸 SD:NBC Sport	00!0!1/95070
🇺🇸 SD: WE	00!0!1/95071
Univision	00!0!1/95762
Telemundo SD	00!0!1/95763
LAT: Unimas SD	00!0!1/95764
Galavision USA	00!0!1/95765
TruTV SD	00!0!1/95767
🇺🇸 SD: Tennis Channel	00!0!1/95768
24/7 La hormiga atómica	00!0!1/103217
24/7 Los 4 Fantásticos	00!0!1/103216
24/7 Spider-man y sus Amigos	00!0!1/103697
24/7 X Men, La Serie Animada	00!0!1/104658
24/7 G.I. Joe	00!0!1/104661
24/7 El Espectacular Spider-Man	00!0!1/106175
24/7 El show de Charlie Brown y Snoopy	00!0!1/106176
24/7 InuYasha	00!0!1/106188
24/7 La leyenda de Korra	00!0!1/106192
24/7 Los Vengadores: Los héroes más poderosos del planeta	00!0!1/106193
24/7 X-Men: Evolución	00!0!1/106195
24/7 Los Súper amigos	00!0!1/106236
24/7 Superman: La serie animada	00!0!1/106237
24/7 The Batman	00!0!1/106238
24/7 Batman: La Serie Animada	00!0!1/106239
24/7 Spider-Man 1994	00!0!1/106310
24/7 Tiny Toons	00!0!1/106311
24/7 Batman del futuro	00!0!1/106312
24/7 El Zorro Animado	00!0!1/106313
24/7 El Zorro	00!0!1/106400
24/7 El Chavo del Ocho	00!0!1/106602
24/7 El avispón verde	00!0!1/107538
24/7 La mujer maravilla	00!0!1/107539
24/7 CHiPs patrulla motorizada	00!0!1/107540
24/7 La familia Monster	00!0!1/107542
24/7 Los Magnificos	00!0!1/107543
24/7 MacGyver	00!0!1/107900
24/7 Candy Candy	00!0!1/107901
24/7 He-Man y los Masters del Universo	00!0!1/107902
24/7 ALF	00!0!1/107903
24/7 La familia Addams	00!0!1/107939
24/7 Capitan Futuro	00!0!1/109635
24/7 Capitan Centella	00!0!1/109636
24/7 Miami Vice	00!0!1/109637
24/7 El Galáctico	00!0!1/110731
24/7 The Inspector	00!0!1/111012
24/7 El inspector Ardilla	00!0!1/111013
24/7 La Bruja Tonta	00!0!1/111257
24/7 The Pink Panther Show	00!0!1/111258
24/7 El Gladiador	00!0!1/111262
24/7 Cool McCool	00!0!1/111263
24/7 La isla de la Fantasía	00!0!1/111378
24/7 El Mago de Oz	00!0!1/111379
24/7 Correcaminos	00!0!1/111380
24/7 El Chapulín Colorado	00!0!1/111381
24/7 El show de Dick Tracy	00!0!1/111384
24/7 Daniel el travieso	00!0!1/111499
24/7 Los Picapiedra	00!0!1/112234
24/7 Meteoro	00!0!1/112700
24/7 She-Ra, La Princesa del Poder	00!0!1/112701
24/7 Héroes en pijamas PJ Masks	00!0!1/112702
24/7 Pinky y Cerebro	00!0!1/112737
24/7 Las olimpiadas de la risa	00!0!1/112738
24/7 La Pequeña Lulu	00!0!1/112874
24/7 Robotech	00!0!1/112950
24/7 El príncipe del Rap	00!0!1/113342
24/7 Perdidos en el espacio	00!0!1/113401
24/7 Perdidos en el espacio (2)	00!0!1/113402
24/7 Pepe Pótamo y So-So	00!0!1/113406
24/7 La hormiga y el oso hormiguero	00!0!1/113407
24/7 Dino-Riders	00!0!1/113409
24/7 Los autos locos	00!0!1/113476
24/7 Popeye 1	00!0!1/113573
24/7 Popeye el Marino	00!0!1/113574
24/7 Patoaventuras	00!0!1/113575
24/7 Aquaman	00!0!1/113577
24/7 El gato Félix	00!0!1/113578
24/7 Kimba, el león blanco	00!0!1/113583
24/7 Mazinger Z	00!0!1/118410
24/7 Don Gato y su pandilla	00!0!1/118445
BALLY SPORTS FLORIDA HD	00!0!1/120165
24/7 ThunderCats	00!0!1/121565
Investigation Discovery EAST	00!0!1/122608
Investigation Discovery FHD	00!0!1/122609
🇺🇸 NAT GEO HD	00!0!1/122613
🇺🇸 NAT GEO WILD EAST HD	00!0!1/122615
NAT GEO Wild HD	00!0!1/122616
OWN FHD	00!0!1/122619
OWN HD Oprah Winfrey	00!0!1/122620
OWN Network FHD	00!0!1/122621
Smithsonian Channel HD	00!0!1/122622
SMITHSONIAN EAST FHD	00!0!1/122624
VICELAND HD	00!0!1/122625
OXYGEN	00!0!1/122626
OXYGEN WEST	00!0!1/122628
NBC SPORT HD	00!0!1/122629
NBC Sports Bay Area	00!0!1/122631
NBC Sports Boston	00!0!1/122632
NBC Sports Chicago	00!0!1/122634
NBC Sports Network FHD	00!0!1/122635
NBC Sports Philadelphia	00!0!1/122636
Claro Sports 1 HD	00!0!1/135261
RT NEWS ʜᴅ	00!0!1/138609
Univision Orlando	00!0!1/140272
FOX LIFE	00!0!1/143899
Univision 41 San Antonio	00!0!1/144858
UEFA: TUDN HD	00!0!1/145599
UEFA: TUDN X1	00!0!1/145600
UEFA: TUDN X2	00!0!1/145601
UEFA: TUDN X3	00!0!1/145602
UEFA: TUDN X4	00!0!1/145603
UEFA: TUDN X5	00!0!1/145604
UEFA: TUDN X6	00!0!1/145605
UEFA: TUDN X7	00!0!1/145606
UEFA: TUDN X8	00!0!1/145607
UEFA: Liga de Campeones HD	00!0!1/145610
UEFA: MOVISTAR LIGA DE CAMPEONES 1 [Events]	00!0!1/145611
UEFA: MOVISTAR LIGA CAMPEONES 2 [Events] 🇪🇸	00!0!1/145612
UEFA: ESPN SUR	00!0!1/145622
UEFA: ESPN 2 SUR	00!0!1/145623
UEFA: ESPN 3 SUR	00!0!1/145624
Caracol SD	00!0!1/146395
ESPN SUR HD	00!0!1/148627
Mas Chic HD	00!0!1/149306
TV FAMILIA	00!0!1/152509
🇨🇱 TNT SPORTS HD (E)	00!0!1/153060
🇨🇱 TNT SPORTS PREMIUM HD	00!0!1/153061
🇨🇱 TNT SPORTS BASICO HD	00!0!1/153062
🇨🇱 TNT SPORTS 2	00!0!1/153064
🇨🇱 TNT SPORTS ESTADIO	00!0!1/153066
24/7 Droopy, El gran detective	00!0!1/153081
ABC 7 Chicago HD	00!0!1/153874
NBC 2 Orlando HD	00!0!1/153875
FOX 4 KANSAS CITY HD	00!0!1/153876
TNT SPORTS HD	00!0!1/154333
DEPORTV HD	00!0!1/154335
QUIERO MUSICA	00!0!1/154338
METRO	00!0!1/154339
LN+	00!0!1/154340
Tv Publica HD	00!0!1/154376
🇦🇷 Tv Publica	00!0!1/154377
TYC SPORTS INTERNACIONAL	00!0!1/154382
TELEFE HD OPC 2	00!0!1/154388
TNT SPORTS HD OPC 2	00!0!1/154391
Canal 11 Nicaragua	00!0!1/154832
Canal 12 Nicaragua	00!0!1/154833
ESPN 4 ꜰʜᴅ	00!0!1/154838
Hallmark HD	00!0!1/155241
Hallmark Movies & Mysteries HD	00!0!1/155242
🇨🇺 CUBAMAX	00!0!1/155297
🇨🇺 CUBAVISION	00!0!1/155298
Tele Rebelde	00!0!1/155300
🇨🇺 Cubavision Internacional	00!0!1/155301
CUBA VISION SD	00!0!1/155302
Caracol TV FHD	00!0!1/158703
City TV	00!0!1/162033
Telemundo Las Vegas HD	00!0!1/162148
E! Entertainment TV EAST HD	00!0!1/162149
E!	00!0!1/162150
Telemundo Miami OPC 2	00!0!1/162158
Univision Miami HD OPC 2	00!0!1/162159
WinSports FHD	00!0!1/164825
NAT GEO KIDS SD	00!0!1/168169
ESPN 4 FHD 1	00!0!1/168254
ESPN 4 SD	00!0!1/168255
ESPN 4 Sur HD	00!0!1/168256
ESPN MEXICO ꜰʜᴅ	00!0!1/168756
MOTORTREND HD	00!0!1/168823
TN Noticias HD	00!0!1/170861
DAZN FHD	00!0!1/172129
🇩🇪 Dazn 1 Bar HD	00!0!1/172133
🇩🇪 Dazn 2 Bar HD	00!0!1/172134
🇨🇴 Fox Sports 1 FHD	00!0!1/172137
🇨🇱 Fox Sports 1 HD	00!0!1/172139
Bein Sports Ñ FHD	00!0!1/172140
Fox Deportes HD	00!0!1/172142
AYM SPORTS FHD	00!0!1/172143
DIRECTV SPORTS FHD	00!0!1/172144
ESPN DEPORTES FHD	00!0!1/172145
ESPN 1 MEXICO FHD	00!0!1/172146
ESPN 2 MEXICO FHD	00!0!1/172147
ESPN 3 MEXICO FHD	00!0!1/172148
ESPN U FHD	00!0!1/172149
ESPN 2 FHD	00!0!1/172150
ESPN 3 FHD Latino	00!0!1/172151
FOX DEPORTES FHD	00!0!1/172152
FOX SPORTS 1 MEXICO FHD	00!0!1/172153
FOX SPORTS 2 MEXICO FHD	00!0!1/172154
FOX SPORTS 3 MEXICO FHD	00!0!1/172155
FOX SPORTS 2 FHD	00!0!1/172156
FOX SPORTS 3 FHD	00!0!1/172157
GOLF CHANNEL LATINO HD	00!0!1/172158
REAL MADRID TV	00!0!1/172159
TVC DEPORTES MEXICO FHD	00!0!1/172160
GOL TV INTERNACIONAL HD	00!0!1/172161
DIRECTV SPORTS FIGHT FHD	00!0!1/172162
MOVISTAR DEPORTES HD	00!0!1/172163
FOX SPORTS PREMIUM FHD	00!0!1/172164
Bein Sports Ñ HD	00!0!1/172165
AFIZZIONADOS HD	00!0!1/172167
CLARO SPORTS SUR HD	00!0!1/172168
CLARO SPORTS MX HD	00!0!1/172169
TUDN HD	00!0!1/172170
SKY SPORTS BUNDESLIGA	00!0!1/172171
SKY SPORTS Premier league HD UK	00!0!1/172173
SKY SPORTS Main Event	00!0!1/172174
RED BULL TV HD	00!0!1/172175
UFC TV	00!0!1/172176
BEIN SPORTS HD	00!0!1/172177
BEIN SPORTS FHD	00!0!1/172178
TUDN SD	00!0!1/172179
ESPN PLUS MEXICO HD	00!0!1/172181
FOX SPORTS 3 MEXICO SD	00!0!1/172185
FOX SPORTS MEXICO SD	00!0!1/172187
ESPN 3 MEXICO SD	00!0!1/172188
ESPN 2 MEXICO SD	00!0!1/172189
ESPN 1 MEXICO SD	00!0!1/172190
DIRECTV SPORTS 2 SUR	00!0!1/172191
CDO PREMIUM	00!0!1/172194
FOX SPORTS 2 SUR SD	00!0!1/172196
FOX SPORTS 3 SUR SD	00!0!1/172197
ESPN 3 SUR SD	00!0!1/172198
GOLF CHANNEL SUR SD	00!0!1/172200
BEIN SPORTS Ñ SD	00!0!1/172202
GAME SHOW NETWORK HD	00!0!1/175667
Discovery Familia HD	00!0!1/175668
Cartoon Network	00!0!1/175840
Cartoon Network EAST HD	00!0!1/175841
NICK	00!0!1/175842
DISNEY CHANNEL	00!0!1/175843
Disney Channel HD	00!0!1/175844
NickToons HD	00!0!1/175845
Disney JR WEST HD	00!0!1/175846
Baby First HD	00!0!1/175847
Discovery Family HD	00!0!1/175848
Nick JR HD	00!0!1/175849
TeenNick HD	00!0!1/175850
Universal Kids West HD	00!0!1/175851
UNIVERSAL KIDS EAST HD	00!0!1/175852
Disney JR HD EAST	00!0!1/175853
ESPN Premium SD	00!0!1/175929
YES NETWORK HD	00!0!1/176037
Discovery Channel Latino SD	00!0!1/178297
CNBC World HD	00!0!1/178541
America Teve	00!0!1/179471
WEATHER NATION HD	00!0!1/179886
WEATHER HD	00!0!1/179887
Fox 30 Jacksonville	00!0!1/179888
NBC Jacksonville	00!0!1/179889
PBS Jacksonville	00!0!1/179890
CW 17 Jacksonville	00!0!1/179891
NBC 12 Jacksonville	00!0!1/179892
CBS 47 Jacksonville	00!0!1/179893
CANAL 13 OPC 2	00!0!1/180353
Paka Paka	00!0!1/180354
CANAL TRO	00!0!1/180358
Cali TV	00!0!1/180359
Teleislas (L)	00!0!1/180360
NTN 24	00!0!1/180361
TVN HD	00!0!1/180363
🇵🇦 TV MAX 9	00!0!1/180364
+23	00!0!1/180365
BALLY SPORTS SOUTH HD	00!0!1/180562
ESPN SUR FHD 1	00!0!1/224010
ESPN SUR HD 1	00!0!1/224011
La 1 FHD	00!0!1/224105
🇪🇸 Telecinco FHD	00!0!1/224166
RCN Nuestra Tele	00!0!1/224252
Telecafe ✦	00!0!1/224253
Telecaribe	00!0!1/224254
Universal TV	00!0!1/224255
Trece	00!0!1/224256
BEIN ing	00!0!1/229793
PAC 12 WASHINGTON HD	00!0!1/229799
BEIN ing	00!0!1/229800
Altitude sports	00!0!1/229806
Root Sports	00!0!1/229807
NBCSN Chicago HD	00!0!1/229808
AT&T SPORTSNET Pittsburgh HD	00!0!1/229814
NBC SPORTS PHILADELPHIA HD	00!0!1/229815
ESPN 2 UHD	00!0!1/229816
ESPN News UHD	00!0!1/229817
ESPN ACC Network UHD	00!0!1/229818
TVG	00!0!1/229820
WWE NETWORK HD	00!0!1/229821
BeIN SPORTS 7 HD	00!0!1/229822
MSG 2 HD	00!0!1/229824
MSG PLUS HD	00!0!1/229825
Bally Sports San Diego HD	00!0!1/229826
MARQUEE SPORTS NETWORK HD	00!0!1/229827
SPECTRUM SPORTSNET LAKERS HD	00!0!1/229828
SPORTSNET NEW YORK SD	00!0!1/229829
SPORTSNET SOUTHWEST HD	00!0!1/229830
AT&T SportsNet Rocky Mountain HD	00!0!1/229831
BALLY SPORTS SOUTHWEST HD	00!0!1/229832
BALLY SPORTS SOUTH HD	00!0!1/229833
NBC SPORTS CHICAGO HD	00!0!1/229834
NBC SPORTS BAY AREA HD	00!0!1/229836
ESPN SEC NETWORK	00!0!1/229837
NBC GOLF HD	00!0!1/229839
NESN PLUS HD	00!0!1/229840
NESN BOSTON HD	00!0!1/229841
BALLY SPORTS NEW ORLEANS HD	00!0!1/229842
BALLY SPORTS NORTH HD	00!0!1/229843
BALLY SPORTS NORTH PLUS HD	00!0!1/229844
TVG 2	00!0!1/229847
ABC NEWS LIVE EAST HD	00!0!1/229860
CNN INTERNATIONAL USA HD	00!0!1/229861
CBS NEWS HD	00!0!1/229862
RT NEWS HD	00!0!1/229863
ONE AMERICA NEWS NETWORK HD	00!0!1/229864
CNN EN ESPANOL	00!0!1/229866
FOX NEWS	00!0!1/229867
CNN HD	00!0!1/229868
MSNBC FHD	00!0!1/229869
RT NEWS ESPAÑOL	00!0!1/229870
NEWS 12 CONNECTICUT UHD	00!0!1/229872
RCN ꜰʜᴅ Opc 2	00!0!1/230464
ESPN PLUS	00!0!1/231343
TRAVEL AND LIVING CHANNEL	00!0!1/231470
SUR LA RED CHILE	00!0!1/231471
MERIDIANO TV SUR	00!0!1/231473
TELESUR	00!0!1/231474
CONCIENCIA	00!0!1/231476
VALE TV SUR	00!0!1/231477
VENEZOLANA DE TELEVISION SUR	00!0!1/231478
SUR TV SALUD	00!0!1/231479
VIVE TV VE Sur	00!0!1/231483
FOX SPORTS VENEZUELA	00!0!1/231489
TNO Radio	00!0!1/231496
Canal i+ HD	00!0!1/231497
Catatumbo	00!0!1/231498
LA TELE SUR	00!0!1/231481
BARCA TV	00!0!1/231669
Real Madrid TV SD	00!0!1/231670
LIGA TV BAR FHD	00!0!1/231671
LIGA TV 1 BAR [Events]	00!0!1/231672
LIGA TV BAR 3 [Events]	00!0!1/231673
LIGA TV BAR 4 [Events]	00!0!1/231674
MOVISTAR #VAMOS	00!0!1/231675
MOVISTAR LALIGA 1 [Events]	00!0!1/231676
MOVISTAR LALIGA 2 [Events]	00!0!1/231677
MOVISTAR LA LIGA 3 [Events]	00!0!1/231678
MOVISTAR LA LIGA 4 [Events]	00!0!1/231679
MOVISTAR LA LIGA 5 [Events]	00!0!1/231680
MOVISTAR LA LIGA 6 [Events]	00!0!1/231681
MOVISTAR LA LIGA 7 [Events]	00!0!1/231682
MOVISTAR LA LIGA 10 [Events]	00!0!1/231683
MOVISTAR LA LIGA 3 HD [Events]	00!0!1/231684
MOVISTAR LA LIGA 9 [Events]	00!0!1/231685
MOVISTAR LA LIGA 8 [Events]	00!0!1/231686
MOVISTAR LIGA CAMPEONES	00!0!1/231687
MOVISTAR LIGA CAMPEONES 1 [Events]	00!0!1/231688
MOVISTAR LIGA DE CAMPEONES 2	00!0!1/231689
MOVISTAR LIGA CAMPEONES 2 HD [Events]	00!0!1/231690
MOVISTAR LIGA CAMPEONES 3 [Events]	00!0!1/231691
MOVISTAR LIGA DE CAMPEONES 4 [Events]	00!0!1/231692
MOVISTAR LIGA CAMPEONES 5 [Events]	00!0!1/231693
MOVISTAR LIGA CAMPEONES 6 [Events]	00!0!1/231694
MOVISTAR LIGA CAMPEONES 7 [Events]	00!0!1/231695
MOVISTAR LIGA CAMPEONES 8 [Events]	00!0!1/231696
Sky Sport Golf Es	00!0!1/231697
MOVISTAR DEPORTE	00!0!1/231698
MOVISTAR DEPORTE 1	00!0!1/231699
MOVISTAR DEPORTE 2 [Events]	00!0!1/231700
MOVISTAR DEPORTE 3 [Events]	00!0!1/231701
MOVISTAR DEPORTE 4 [Events]	00!0!1/231702
MOVISTAR DEPORTE 5 [Events]	00!0!1/231703
MOVISTAR DEPORTE 6 [Events]	00!0!1/231704
MOVISTAR DEPORTE 7	00!0!1/231705
MOVISTAR DEPORTE 8	00!0!1/231706
EUROSPORT	00!0!1/231707
Eurosport 2	00!0!1/231708
ESPORT 3	00!0!1/231709
🇪🇸 TELEDEPORTE	00!0!1/231710
REAL MADRID TV	00!0!1/231711
🇪🇸 TELEDEPORTE SD	00!0!1/231712
MOVISTAR LIGA DE CAMPEONES 3 [Events]	00!0!1/231713
MOVISTAR LALIGA 2	00!0!1/231714
DAZN Formula 1 GP	00!0!1/231715
LIGA TV BAR	00!0!1/231716
BARCA TV	00!0!1/231717
LIGA TV BAR HD	00!0!1/231718
LIGA TV BAR HD	00!0!1/231719
MOVISTAR VAMOS BAR HD	00!0!1/231721
MOVISTAR VAMOS BAR FHD	00!0!1/231722
Esport3 FHD	00!0!1/231723
MOVISTAR LA LIGA 1 HD [Events]	00!0!1/231725
MOVISTAR LA LIGA 2 FHD [Events]	00!0!1/231726
MOVISTAR LIGA DE CAMPEONES HD	00!0!1/231727
MOVISTAR LIGA CAMPEONES FHD	00!0!1/231728
MOVISTAR LIGA CAMPEONES 1 HD [Events]	00!0!1/231729
MOVISTAR GOLF HD	00!0!1/231730
MOVISTAR FORMULA 1 HD	00!0!1/231731
MOVISTAR DEPORTE HD	00!0!1/231732
MOVISTAR DEPORTE HD	00!0!1/231733
GOL TV FHD	00!0!1/231734
MOVISTAR DEPORTE 1 FULL HD	00!0!1/231735
EUROSPORT HD	00!0!1/231736
EUROSPORT FULL FHD	00!0!1/231737
MOVISTAR F1 HD	00!0!1/231738
M. FORMULA 1 FULL HD	00!0!1/231739
MOVISTAR GOLF FHD	00!0!1/231740
MOVISTAR TOROS FHD	00!0!1/231741
REAL MADRID TV HD	00!0!1/231742
DAZN - F1 GP FHD	00!0!1/231743
DAZN 2 FHD	00!0!1/231744
DAZN - F1 GP HD	00!0!1/231745
DAZN 3 HD	00!0!1/231746
DAZN 3 FHD	00!0!1/231747
DAZN 4 HD	00!0!1/231748
DAZN 4 FHD	00!0!1/231749
Sky Sports Premier League HD	00!0!1/231750
LIGA TV BAR HD	00!0!1/231751
TOROS HD	00!0!1/231752
Movistar Liga de Campeones HD	00!0!1/231753
LA 1	00!0!1/231754
TRECE TV	00!0!1/231755
BLAZE	00!0!1/231756
BABY TV	00!0!1/231757
Star TVE Spain	00!0!1/231758
BLOOMBERG	00!0!1/231759
CANAL ODISEA	00!0!1/231760
CANAL PANDA	00!0!1/231761
CANAL SUR	00!0!1/231762
CRIME AND INVESTIGATION	00!0!1/231763
DMAX	00!0!1/231764
FOX NEWS	00!0!1/231765
GALICIA TV	00!0!1/231766
IBERALIA TV	00!0!1/231767
FDF	00!0!1/231768
DKISS	00!0!1/231769
DISNEY XD	00!0!1/231770
DISNEY JR	00!0!1/231771
CANAL CASA	00!0!1/231772
CANAL COCINA	00!0!1/231773
CLAN TVE	00!0!1/231774
MOVISTAR CINE N	00!0!1/231775
MTV ESPAÑA	00!0!1/231776
NICK JUNIOR	00!0!1/231777
ODISEA HVEC	00!0!1/231778
PANDA	00!0!1/231779
XTRM	00!0!1/231780
BOING	00!0!1/231781
NOVA	00!0!1/231782
ARAGON TV	00!0!1/231783
BLAZE	00!0!1/231784
AXN WHITE	00!0!1/231785
NICKELODEON	00!0!1/231786
FOX	00!0!1/231787
NEOX	00!0!1/231788
ENERGY	00!0!1/231789
COCINA TV	00!0!1/231790
TVE	00!0!1/231791
I24 NEWS	00!0!1/231792
DW ESPAÑA	00!0!1/231793
DISCOVERY CHANNEL ESPAÑA	00!0!1/231794
IBERALIA	00!0!1/231795
HISTORIA	00!0!1/231796
MOVISTAR ESTRENOS	00!0!1/231797
COSMO HEVC	00!0!1/231798
A3 CINE SD	00!0!1/231799
TEN CRIMEN + INVESTIGATION	00!0!1/231800
TELECINCO	00!0!1/231801
DISTRITO TV	00!0!1/231803
Andalucía TV STD	00!0!1/231806
Canal 4 SD	00!0!1/231810
Canal 24 Horas	00!0!1/231815
CANAL 45 TV ES	00!0!1/231816
CMM TV SD	00!0!1/231819
Cosmo TV SDT	00!0!1/231825
EuropaPress TV Galicia	00!0!1/231829
Univers TV SD	00!0!1/231832
TV Vega Baja SD	00!0!1/231833
Lebrija TV SD	00!0!1/231834
Mírame TV SD	00!0!1/231836
Oizmendi Telebista SD	00!0!1/231837
Onda Madrid SD	00!0!1/231839
TeleGilena SD	00!0!1/231841
Trebujena TV SD	00!0!1/231842
TVG Momento SDT	00!0!1/231843
TVG Musigal	00!0!1/231844
Ventdelnord TV	00!0!1/231845
A3Series Internacional	00!0!1/231846
🇪🇸 TCM HD HEVC	00!0!1/231848
🇪🇸 SYFY HD HEVC	00!0!1/231849
🇪🇸 NATIONAL GEO WILD HD HEVC	00!0!1/231850
🇪🇸 MEZZO LIVE HD HEVC	00!0!1/231851
#0 HD	00!0!1/231852
🇪🇸 #VAMOS HD HEVC	00!0!1/231853
A3 SERIES HD	00!0!1/231854
🇪🇸 COMEDY CENTRAL HD HEVC	00!0!1/231855
🇪🇸 CANAL GOLF FHD	00!0!1/231856
🇪🇸 DISCOVERY CHANNEL HD	00!0!1/231857
🇪🇸 MOVISTAR COMEDIA HD	00!0!1/231858
🇪🇸 MOVISTAR SERIE HD	00!0!1/231859
🇪🇸 MOVISTAR SERIES MANIA HD	00!0!1/231860
TVE HD	00!0!1/231861
🇪🇸 MEZZO LIVE HD	00!0!1/231862
🇪🇸 FOX LIFE HD	00!0!1/231863
🇪🇸 FOX HD	00!0!1/231864
DIVINITY HD	00!0!1/231865
🇪🇸 DISNEY CHANEL HD	00!0!1/231866
🇪🇸 COSMO HD	00!0!1/231867
🇪🇸 COMEDY CENTRAL HD	00!0!1/231868
🇪🇸 CAZA Y PESCA HD	00!0!1/231869
🇪🇸 CALLE 13 HD	00!0!1/231870
🇪🇸 TVE LA 1 HD	00!0!1/231871
🇪🇸 TVE LA 2 HD	00!0!1/231872
ANTENA 3 HD	00!0!1/231873
🇪🇸 CUATRO HD	00!0!1/231874
🇪🇸 LA SEXTA HD	00!0!1/231875
🇪🇸 MOVISTAR ACCION HD	00!0!1/231876
🇪🇸 MOVISTAR Disney HD	00!0!1/231877
🇪🇸 MoviStar ESTRENOS HD	00!0!1/231878
🇪🇸 NAT GEO WILD HD	00!0!1/231880
🇪🇸 NICKELODEON HD	00!0!1/231881
🇪🇸 SUNDANCE HD	00!0!1/231882
🇪🇸 SYFY HD	00!0!1/231883
🇪🇸 TCM HD	00!0!1/231884
🇪🇸 TELEMADRID HD	00!0!1/231885
🇪🇸 TNT HD	00!0!1/231886
🇪🇸 VIAJAR HD	00!0!1/231887
🇪🇸 HOLLYWOOD HD	00!0!1/231888
AMC HD	00!0!1/231889
AXN HD	00!0!1/231890
AXN WHITE HD	00!0!1/231891
🇪🇸 BE MAD HD	00!0!1/231892
🇪🇸 MOVISTAR ACCION HD	00!0!1/231893
🇪🇸 MOVISTAR DRAMA HD	00!0!1/231894
🇪🇸 SERIES MANIA FHD	00!0!1/231895
🇪🇸 COMEDIA HD	00!0!1/231896
🇪🇸 CALLE 13 HD	00!0!1/231897
🇪🇸 COSMO HD	00!0!1/231898
🇪🇸 FOX LIFE HD.	00!0!1/231899
🇪🇸 TELECINCO HD	00!0!1/231900
🇪🇸 CUATRO HD	00!0!1/231901
ANTENA 3 HD	00!0!1/231902
🇪🇸 LA 2	00!0!1/231903
🇪🇸 LA 1 HD	00!0!1/231904
🇪🇸 TNT HD HEVC	00!0!1/231905
#VAMOS HD	00!0!1/231907
🇪🇸 MOVISTAR SERIES HD	00!0!1/231908
🇪🇸 DISNEY CHANNEL HD	00!0!1/231909
🇪🇸 ACCION HD	00!0!1/231910
🇪🇸 ODISEA FHD	00!0!1/231911
🇪🇸 MOVISTAR DRAMA HD HEVC	00!0!1/231912
🇪🇸 FOX HD HEVC	00!0!1/231915
🇪🇸 LA 7 HD	00!0!1/231916
🇪🇸 MOVISTAR CINE CLÁSICO HD	00!0!1/231920
🇪🇸 SOMOS HD	00!0!1/231921
🇪🇸 PARAMOUNT HD	00!0!1/231922
🇪🇸 MOVISTAR ESTRENOS HD	00!0!1/231923
🇪🇸 MOVISTAR 0# HD	00!0!1/231924
DAZN MOVISTAR 1 SD	00!0!1/232684
ES DAZN 1 FHD	00!0!1/233179
DAZN LALIGA 1 FHD	00!0!1/233180
TVE 24h	00!0!1/233236
UEFA: ESPN 2 MEXICO FHD	00!0!1/234336
UEFA: ESPN 2 FHD	00!0!1/234337
Movistar Liga De Campeones FHD	00!0!1/234338
UEFA: ESPN 1 FHD	00!0!1/234339
Fox Sports 1 Premium HD	00!0!1/234438
AYM SPORTS SD	00!0!1/234439
ESPN 4 FHD	00!0!1/234441
Wapa Deportes	00!0!1/234444
Fox Sports FHD	00!0!1/234446
GOLF CHANNEL HD	00!0!1/234447
Sky Sports Premier HD	00!0!1/234448
ESPN SUR SD	00!0!1/234449
ESPN 2 SUR SD	00!0!1/234450
FOX SPORTS SUR SD	00!0!1/234451
FOX SPORTS 2 MEXICO SD	00!0!1/234452
ESPN SD	00!0!1/234453
ESPN 2 SD	00!0!1/234454
ESPN 3 SD	00!0!1/234455
Fox Sports SD	00!0!1/234456
Fox Sports 2 SD	00!0!1/234457
Fox Sports 3 SD	00!0!1/234458
ESPN PLUS SD	00!0!1/234460
VTV SD	00!0!1/234462
CLARO SPORTS SD	00!0!1/234463
CDO PREMIUM SD	00!0!1/234464
Tigo Sports Guatemala SD	00!0!1/234465
TUDN USA SD	00!0!1/234467
TUDN Mx SD	00!0!1/234468
ADRENALINA SD	00!0!1/234469
RETRO PLUS TV	00!0!1/234494
CORAZON LLANERO	00!0!1/234495
Yes Network HD	00!0!1/234510
LA RESISTENCIA HD	00!0!1/241749
MLS YES NETWORK HD	00!0!1/246042
TV LAND HD WEST	00!0!1/246307
🇪🇸 VIP: DAZN F1 DZ	00!0!1/251763
🇪🇸 VIP: NFL TV DZ	00!0!1/251767
Eurosports 1	00!0!1/251773
Eurosports 2	00!0!1/251774
MEGA ᴇsᴘᴀɴᴀ ᴴᴰ	00!0!1/252031
TR3S	00!0!1/252032
GAME SHOW NETWORK HD	00!0!1/256139
TEN TV ᴇsᴘᴀɴᴀ ᴴᴰ	00!0!1/257293
Canal Vive TV UHD	00!0!1/257294
Wapa America	00!0!1/257568
TLT LA TELE TUYA	00!0!1/259327
Cinemax West HD_1080P	00!0!1/268237
TeleOnce FHD	00!0!1/277750
C5N	00!0!1/277796
ESPN DEPORTES	00!0!1/284261
FDF HD	00!0!1/284735
🇵🇪 SOLTV	00!0!1/287705
🇵🇪 TVPERU NOTICIAS	00!0!1/287706
🇵🇪 America TV HD	00!0!1/287707
🇵🇪 ATV + FHD	00!0!1/287708
🇵🇪 ATV	00!0!1/287709
